gene;Sham_C.Sham_WNV;Sham_C.Sham_JEV;Bartholomay2010;Pradakar2015;Shin2014;Name;description;attributes
CPIJ000005;0;0;1;0;0;NA;NA;NA
CPIJ000015;0;0;1;0;0;NA;NA;NA
CPIJ000017;1;0;0;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];ID=gene:CPIJ000017;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];gene_id=CPIJ000017;logic_name=vectorbase_culex
CPIJ000031;1;1;0;1;0;;Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90];ID=gene:CPIJ000031;biotype=protein_coding;description=Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90];gene_id=CPIJ000031;logic_name=vectorbase_culex
CPIJ000038;0;1;1;0;0;;UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];ID=gene:CPIJ000038;biotype=protein_coding;description=UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];gene_id=CPIJ000038;logic_name=vectorbase_culex
CPIJ000056;0;0;0;0;1;NA;NA;NA
CPIJ000064;0;0;1;0;0;NA;NA;NA
CPIJ000073;0;0;1;0;0;NA;NA;NA
CPIJ000077;0;0;0;1;0;NA;NA;NA
CPIJ000097;1;1;0;0;0;;Use1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZ75];ID=gene:CPIJ000097;biotype=protein_coding;description=Use1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZ75];gene_id=CPIJ000097;logic_name=vectorbase_culex
CPIJ000120;0;0;1;0;0;NA;NA;NA
CPIJ000123;0;0;1;0;0;NA;NA;NA
CPIJ000131;0;1;0;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYZ9];ID=gene:CPIJ000131;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYZ9];gene_id=CPIJ000131;logic_name=vectorbase_culex
CPIJ000141;0;1;0;0;0;;Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07];ID=gene:CPIJ000141;biotype=protein_coding;description=Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07];gene_id=CPIJ000141;logic_name=vectorbase_culex
CPIJ000142;0;0;1;0;0;NA;NA;NA
CPIJ000146;1;0;1;0;0;;superoxide dismutase 2 [Source:VB Community Annotation];ID=gene:CPIJ000146;biotype=protein_coding;description=superoxide dismutase 2 [Source:VB Community Annotation];gene_id=CPIJ000146;logic_name=vectorbase_culex
CPIJ000169;0;0;1;0;0;NA;NA;NA
CPIJ000176;0;1;0;0;0;;Inhibitor-2%2C putative [Source:VB Community Annotation];ID=gene:CPIJ000176;biotype=protein_coding;description=Inhibitor-2%2C putative [Source:VB Community Annotation];gene_id=CPIJ000176;logic_name=vectorbase_culex
CPIJ000187;0;1;0;0;0;;Mitogen-activated protein kinase kinase kinase 7 [Source:UniProtKB/TrEMBL%3BAcc:B0VZR8];ID=gene:CPIJ000187;biotype=protein_coding;description=Mitogen-activated protein kinase kinase kinase 7 [Source:UniProtKB/TrEMBL%3BAcc:B0VZR8];gene_id=CPIJ000187;logic_name=vectorbase_culex
