gene;Sham_C.WNVp_C;WNVp_C.WNVp_WNV;Sham_WNV.WNVp_WNV;WNVp_WNV.WNVp_JEV;Sham_JEV.WNVp_JEV;Sham_C.Sham_WNV;Sham_C.Sham_JEV;Sham_C.WNVp_WNV;Sham_C.WNVp_JEV;Name;description;attributes
CPIJ000007;0;0;0;1;1;0;0;0;0;;Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ32];ID=gene:CPIJ000007;biotype=protein_coding;description=Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ32];gene_id=CPIJ000007;logic_name=vectorbase_culex
CPIJ000009;0;0;0;0;1;0;0;0;0;;chitinase A1 precursor [Source:VB Community Annotation];ID=gene:CPIJ000009;biotype=protein_coding;description=chitinase A1 precursor [Source:VB Community Annotation];gene_id=CPIJ000009;logic_name=vectorbase_culex
CPIJ000010;0;0;0;0;1;0;0;0;0;;Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ35];ID=gene:CPIJ000010;biotype=protein_coding;description=Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ35];gene_id=CPIJ000010;logic_name=vectorbase_culex
CPIJ000017;0;0;0;0;0;1;0;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];ID=gene:CPIJ000017;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];gene_id=CPIJ000017;logic_name=vectorbase_culex
CPIJ000018;0;0;0;1;1;0;0;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ74];ID=gene:CPIJ000018;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ74];gene_id=CPIJ000018;logic_name=vectorbase_culex
CPIJ000021;0;0;0;0;0;0;0;0;1;;Salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ60];ID=gene:CPIJ000021;biotype=protein_coding;description=Salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ60];gene_id=CPIJ000021;logic_name=vectorbase_culex
CPIJ000025;0;0;0;1;0;0;0;0;1;;Negative elongation factor E [Source:UniProtKB/TrEMBL%3BAcc:B0VZ65];ID=gene:CPIJ000025;biotype=protein_coding;description=Negative elongation factor E [Source:UniProtKB/TrEMBL%3BAcc:B0VZ65];gene_id=CPIJ000025;logic_name=vectorbase_culex
CPIJ000031;0;0;0;1;0;1;1;0;1;;Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90];ID=gene:CPIJ000031;biotype=protein_coding;description=Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90];gene_id=CPIJ000031;logic_name=vectorbase_culex
CPIJ000038;0;0;0;0;0;0;1;0;0;;UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];ID=gene:CPIJ000038;biotype=protein_coding;description=UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];gene_id=CPIJ000038;logic_name=vectorbase_culex
CPIJ000039;0;0;0;1;1;0;0;0;1;;glucosyl/glucuronosyl transferases [Source:VB Community Annotation];ID=gene:CPIJ000039;biotype=protein_coding;description=glucosyl/glucuronosyl transferases [Source:VB Community Annotation];gene_id=CPIJ000039;logic_name=vectorbase_culex
